"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","신청접수일 등 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천방법 상세내용","제출서류 상세내용"
"11","풍육장학회","풍육장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","성적이 우수한 자.","해당없음","해당없음","풍양조씨 인 자행실이 바른 정규 4년제 대학 신입생 및 재학생해외 유학생","해당없음","2022-01-25~2022-02-18","해당없음","00명"," 1세대 1자녀 원칙.타처에서 장학금을 받고 있는 학생은 신청 불가능수능성적이 없이 수시전형에 합격한 자는 신청할 수 없음.(진학한 후에 대학성적으로 신청해야함) 한번 수혜 받은 학생은 재신청 불가 전문대/대학원생 제외  * 이 외 자세한 사항은 첨부파일 참고","해당없음","장학금 수혜원서(본회 소정양식) 1통 * 이 장학금 수혜원서는 풍양조씨종보(제45호)에 수록된 양식 사용할 것성적증명서 (재적학교 발행) * 신입생 : 수능시험성적통지표/ 대학합격통지표 각1통 * 재학생 : 소속대학의 성적증명서/ 재학증명서 각 1통가족관계증명서 (동/ 읍/ 면사무소 발행) 1통(해당자에 한함)소속학교와 자신에 관한 소개서(해외 유학생의 경우) 1통"
"12","하영호장학재단","장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","최대 2000000원 * 자부담 등록금 범위 내 결격사유가 없는 한 졸업 시까지 지원","사각지대의 어려운 생활수준으로 장학금이 필요한 학생매월 첫째주 토요일 정기봉사에 참여할 수 있는 학생","해당없음","2022-08-23~2022-08-30","1차 서류2차 면접( 1차 합격자에 한 함)","해당없음","기초수급 대상자 및 차상위계층은 제외","담당교수","자기소개서장학금 신청서성적증명서교수추천서주민등록등본재산세납입증명서 또는 소득확인 증빙서류재학증명서 * 자세한 사항은 각 학교 장학부서 또는 하영호장학재단 문의"
"13","청양사랑인재육성장학회","명문대입학장학금","지자체","장학금","지역연고","특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","명문대 입학한 자수능합 7등급 이내인자 ","해당없음","관내 중·고 졸업생: 10000000원관내 고교 졸업생: 5000000원","군내 중학교와 고등학교를 졸업하고 명문대에 입학한 자* 명문대 범위 : 서울대/고려대/연세대/카이스트/포항공대/치의한의대/수능합 7등급 이내인 자(고려대/ 연세대는 지방캠퍼스 제외)","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","2022-03-02~2022-03-25","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음 * 자세한 사항은 첨부파일 혹은 홈페이지 공고 참고","해당없음","장학금지원신청서개인정보동의서중학교 졸업증명서고등학교 졸업증명서재학증명서주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고"
"14","청양사랑인재육성장학회","충남도립대입학장학금","지자체","장학금","지역연고","특정대학","대학신입생/연령제한","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","충남도립대학교 입학생","해당없음","1000000원 (생활비)","관내 중학교와 고등학교를 졸업하고 충남도립대학교에 입학한 자공고일 현재 만 25세 이하","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","2022-03-02~2022-03-25","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음공고일 현재 만 25세 이상인 자 제외","해당없음","장학금지원신청서개인정보동의서중학교 졸업증명서고등학교 졸업증명서재학증명서주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고"
"15","청양사랑인재육성장학회","성적우수장학금(대학교신입생)","지자체","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","군내 고등학교 1/2/3학년을 재학하고 졸업한자 중/ 직전학년 과목별 성적이 등급점수 4등급 이내인 자","해당없음","1500000원 (등록금)","군내 고등학교 1/2/3학년을 재학하고 졸업한 자대학교 신입생","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","2022-03-02~2022-03-25","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서고등학교 졸업증명서군내 고등학교 재학증명서재학증명서성적증명서(직전학년)주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고"
"16","청양사랑인재육성장학회","성적우수장학금(군내대학재학생)","지자체","장학금","지역연고","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학년 평점이 3.0 이상인자 (4.5점 만점기준)","해당없음","1500000원 (등록금)","군내 대학 재학생군내고교 1/2/3학년 모두 재학 후 졸업한자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","2022-03-02~2022-03-25","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서고등학교 졸업증명서군내 고등학교 재학증명서재학증명서성적증명서(직전학년)주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고"
"17","청양사랑인재육성장학회","성적우수장학금(군외대학재학생)","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학년 평점이 3.5 이상인자.(4.5점 만점기준)","해당없음","1500000원 (등록금)","군내 고등학교 1/2/3학년 모두 재학 후 졸업한 자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","2022-03-02~2022-03-25","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서고등학교 졸업증명서군내 고등학교 재학증명서재학증명서성적증명서(직전학년)주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고"
"18","청양사랑인재육성장학회","예체능장학금","지자체","장학금","특기자","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1500000원 (생활비)","군내 초/ 중/ 고/ 대학 재학생 및 군내 초등학교나 중학교 또는 고등학교를 졸업한 군외/중/ 고/ 대학생 중 직전학년 예/ 체능부문 성적이 전국규모대회에서 3위 이상 입상한 자와 체육부문은 도 대회 1위 입상한 자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","2022-03-02~2022-03-25","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서재학증명서입상증명서류(직전학년)주민등록초본(주소이력포함)졸업증명서(군내 초·중·고 중 1개/ 군외 대학생 해당) * 자세한 사항은 첨부파일 참고"
"19","봉평태기장학회","일반장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 재학생은 前학기 평균성적이 90점(백분율 환산점수) 이상대학교 신입생은 수학능력점수 90점(백분율 환산점수) 이상","해당없음","전문대 : 1000000원국·사립대 : 1500000원 내외","2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생·신입생","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자.단/ 본적이 타 지역인 자는 5년 이상 거주","2022-08-19~2022-08-31","예산범위내 성적순 선발/ 장학이사회 심의 후 개별통보 예정","해당없음","학자금 면제자/ 타장학금 일백만원 이상 수혜대상 확정자","해당없음","장학생 지원서 (소정양식/ 봉평면사무소 비치)/ (반명함사진)성적증명서 (학교장발행)장학금 미수혜확인서 (학교장 발행)가족관계등록부/ 주미등록 등·초본 각 1부 * 봉평면사무소 총무과 제출 * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고"
"20","봉평태기장학회","향토장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 재학생은 前학기 성적이 85점(백분율 환산점수) 이상대학교 신입생은 수학능력점수 85점(백분율 환산점수) 이상","차상위계층·수급자 우선가정형편이 어려운 학생 * 보호자의 재산세(재산세 도시계획세 소방공동시설세 지방교육세) 세액 10000원 미만 및 종합토지세 5000원 이하","전문대 : 1000000원국·사립대 : 1500000원 내외","2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생·신입생","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자.단/ 본적이 타 지역인 자는 5년 이상 거주","2022-08-19~2022-08-31","예산범위내 성적순 선발/ 장학이사회 심의후 개별통보예정","해당없음","학자금 면제자타장학금 100만원 이상 수혜대상 확정자","해당없음","장학생 지원서 (소정양식/ 봉평면사무소 비치)/ (반명함사진)성적증명서(학교장발행)장학금 (미)수혜 확인서 (학교장발행)보호자의 지방세과세증명서 가족관계등록부/ 주민등록 등·초본 각 1부(주소이력 공개) * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고"
"21","양양군인재육성장학회","특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 10이내 또는 대학수학능력시험 3개영역 언어/ 수리/ 외국어 종합등급 2등급 이내인 자 재학생 : 직전학기 성적이 평균 B학점이상인자","해당없음"," * 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써 중복지원 범위에서 제외","서울대/ 연세대/고려대/카이스트대/포스텍대 재학생","양양군 관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생 양양군에 주소를 두고 2년 이상 실제 거주하고 있는 주민 또는 그의 자녀 ","2021-01-18~2021-02-19","해당없음","이사회에서 결정","공무원 자녀(고등학생) 및 공공기관 등 학비전액 지원자 제외원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학","해당없음","장학생 신청서 1부.재학증명서(신입생은 합격증명서) 1부.졸업증명서(양양군 관내 중/ 고등학교 졸업증명서) 1부.주민등록등본 (주소변동사항 포함) 1부.성적증명서 (재학생은 직전학년/ 신입생은 고등학교 3학년 성적증명서) 1부.재산세 과세/ 미과세 증명서 1부.전/월세 계약서(해당자만 제출)1부.국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류*접수처 : 양양군인재육성장학회 및 읍/면사무소"
"22","양양군인재육성장학회","우등장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 20이내 또는 대학수학능력시험 3개영역 언어/ 수리/ 외국어 종합등급 2등급 이내인 자재학생 : 평점 평균이 B학점 이상 (단/ *서울대/연/고대/카이스트대/포스텍대 학생은 C학점 이상인 자","해당없음"," * 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써 중복지원 범위에서 제외","해당없음","관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생 양양군 관내 고등학교에 재학중인 학생과 양양군에 주소를 두고 2년 이상 실제 거주하고 있는 주민 또는 그 주민의 자녀 ","2022-01-17~2022-02-18","해당없음","이사회에서 결정","원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학공무원/ 회사원 등 직업소유자 ","해당없음","장학생 신청서 1부.재학증명서(신입생은 합격증명서) 1부.졸업증명서(양양군 관내 중/ 고등학교 졸업증명서) 1부.주민등록등본 (주소변동사항 포함) 1부.성적증명서 (재학생은 직전학년/ 신입생은 고등학교 3학년 성적증명서) 1부.세목별 과세 증명서전/월세 계약서(해당자만 제출)1부.국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류*접수처 : 양양군인재육성장학회 및 읍/면사무소"
